entity_id,label,class_id_hint,description,source,source_key
bletchley_park,Bletchley Park,Organization,,wikipedia_ner,joan_clarke
second_world_war,Second World War,Event,,wikipedia_ner,joan_clarke
alonzo_church,Alonzo Church,Person,,wikipedia_ner,alonzo_church
alan_turing,Alan Turing,Person,,wikipedia_ner,alonzo_church
buckinghamshire,Buckinghamshire,Place,,wikipedia_ner,bletchley_park
world_war_ii,World War II,Event,,wikipedia_ner,bletchley_park
john_tiltman,John Tiltman,Person,,wikipedia_ner,bletchley_park
dilwyn_knox,Dilwyn Knox,Person,,wikipedia_ner,bletchley_park
harry_golombek,Harry Golombek,Person,,wikipedia_ner,bletchley_park
gordon_welchman,Gordon Welchman,Person,,wikipedia_ner,bletchley_park
hugh_alexander,Hugh Alexander,Person,,wikipedia_ner,bletchley_park
donald_michie,Donald Michie,Person,,wikipedia_ner,bletchley_park
bill_tutte,Bill Tutte,Person,,wikipedia_ner,bletchley_park
stuart_milner_barry,Stuart Milner-Barry,Person,,wikipedia_ner,bletchley_park
princeton_university,Princeton University,Organization,,wikipedia_ner,princeton_university
new_jersey,New Jersey,Place,,wikipedia_ner,princeton_university
united_states,United States,Place,,wikipedia_ner,princeton_university
college_of_new_jersey,College of New Jersey,Organization,,wikipedia_ner,princeton_university
princeton,Princeton,Place,,wikipedia_ner,princeton_university
american_revolution,American Revolution,Event,,wikipedia_ner,princeton_university
newark,Newark,Place,,wikipedia_ner,princeton_university
mercer_county,Mercer County,Place,,wikipedia_ner,princeton_university
university_of_manchester,University of Manchester,Organization,,wikipedia_ner,turing_test
