seed_entity_id,block_id,mention,original_entity_id,resolved_entity_id,resolved_label,class_id_hint,status,candidate_count,best_score,margin,reason
alan_turing,alan_turing_lead_2,London,london,london,London,Place,nil,1,0.59,0.59,nil_after_token_containment
alan_turing,alan_turing_lead_2,Turing,turing,turing,Turing,Place,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_2,England,england,england,England,Place,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_2,King's College,king_s_college,king_s_college,King's College,Organization,linked,1,0.77,0.77,exact_label
alan_turing,alan_turing_lead_2,Cambridge,cambridge,cambridge,Cambridge,Place,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_2,Princeton University,princeton_university,princeton_university,Princeton University,Organization,linked,1,0.81,0.81,exact_label
alan_turing,alan_turing_lead_2,World War II,world_war_ii,world_war_ii,World War II,Event,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_2,Bletchley Park,bletchley_park,bletchley_park,Bletchley Park,Organization,linked,1,1.16,1.16,exact_label
alan_turing,alan_turing_lead_2,Britain,britain,britain,Britain,Place,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_2,Battle of the Atlantic,battle_of_the_atlantic,battle_of_the_atlantic,Battle of the Atlantic,Work,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_3,National Physical Laboratory,national_physical_laboratory,national_physical_laboratory,National Physical Laboratory,Organization,linked,1,0.82,0.82,exact_label
alan_turing,alan_turing_lead_3,Automatic Computing Engine,automatic_computing_engine,automatic_computing_engine,Automatic Computing Engine,Organization,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_3,Computing Machine Laboratory,computing_machine_laboratory,computing_machine_laboratory,Computing Machine Laboratory,Organization,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_3,University of Manchester,university_of_manchester,university_of_manchester,University of Manchester,Organization,linked,1,0.77,0.77,exact_label
alan_turing,alan_turing_lead_4,Gordon Brown,gordon_brown,gordon_brown,Gordon Brown,Person,nil,0,0.00,0.00,no_candidate
alan_turing,alan_turing_lead_4,Alan Turing,alan_turing,alan_turing,Alan Turing,Person,linked,1,0.78,0.78,exact_label
joan_clarke,joan_clarke_summary,Bletchley Park,bletchley_park,bletchley_park,Bletchley Park,Organization,linked,1,0.97,0.97,exact_label
joan_clarke,joan_clarke_summary,Second World War,second_world_war,second_world_war,Second World War,Event,nil,0,0.00,0.00,no_candidate
joan_clarke,joan_clarke_lead_1,Bletchley Park,bletchley_park,bletchley_park,Bletchley Park,Organization,linked,1,0.97,0.97,exact_label
joan_clarke,joan_clarke_lead_1,Second World War,second_world_war,second_world_war,Second World War,Event,nil,0,0.00,0.00,no_candidate
alonzo_church,alonzo_church_summary,Alonzo Church,alonzo_church,alonzo_church,Alonzo Church,Person,linked,1,1.34,1.34,exact_label
alonzo_church,alonzo_church_summary,Alan Turing,alan_turing,alan_turing,Alan Turing,Person,linked,1,0.85,0.85,exact_label
alonzo_church,alonzo_church_lead_1,Alonzo Church,alonzo_church,alonzo_church,Alonzo Church,Person,linked,1,1.49,1.49,exact_label
alonzo_church,alonzo_church_lead_1,Alan Turing,alan_turing,alan_turing,Alan Turing,Person,linked,1,0.85,0.85,exact_label
bletchley_park,bletchley_park_summary,Bletchley Park,bletchley_park,bletchley_park,Bletchley Park,Organization,linked,1,1.42,1.42,exact_label
bletchley_park,bletchley_park_summary,Buckinghamshire,buckinghamshire,buckinghamshire,Buckinghamshire,Place,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,Second World War,second_world_war,second_world_war,Second World War,Event,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,World War II,world_war_ii,world_war_ii,World War II,Event,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,John Tiltman,john_tiltman,john_tiltman,John Tiltman,Person,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,Dilwyn Knox,dilwyn_knox,dilwyn_knox,Dilwyn Knox,Person,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,Alan Turing,alan_turing,alan_turing,Alan Turing,Person,linked,1,0.78,0.78,exact_label
bletchley_park,bletchley_park_summary,Harry Golombek,harry_golombek,harry_golombek,Harry Golombek,Person,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,Gordon Welchman,gordon_welchman,gordon_welchman,Gordon Welchman,Person,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,Hugh Alexander,hugh_alexander,hugh_alexander,Hugh Alexander,Person,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,Donald Michie,donald_michie,donald_michie,Donald Michie,Person,nil,0,0.00,0.00,no_candidate
bletchley_park,bletchley_park_summary,Bill Tutte,bill_tutte,bill_tutte,Bill Tutte,Person,nil,0,0.00,0.00,no_candidate
